OBJECTID;Id;POINT_X;POINT_Y;POINT_Z;POINT_M;RASTERVALU
188;0;854101,789100000052713;987970,588800000026822;2602,010065429999941;nan;-7,4980111
189;0;854166,789100000052713;987970,588800000026822;2649,621005429999968;nan;-7,9494014
190;0;854231,789100000052713;987970,588800000026822;2688,100100159999784;nan;-8,1716528
191;0;854296,789100000052713;987970,588800000026822;2726,927747990000171;nan;-8,3925276
192;0;854361,789100000052713;987970,588800000026822;2768,709286180000163;nan;-8,5818491
193;0;854426,789100000052713;987970,588800000026822;2779,293497229999957;nan;-8,7703934
194;0;854491,789100000052713;987970,588800000026822;2770,783678639999835;nan;-8,8627243
195;0;854556,789100000052713;987970,588800000026822;2737,987834959999873;nan;-8,9704437
196;0;854621,789100000052713;987970,588800000026822;2708,055093089999900;nan;-9,0627747
197;0;854686,789100000052713;987970,588800000026822;2682,884946199999831;nan;-9,0090876
198;0;854751,789100000052713;987970,588800000026822;2688,348184169999968;nan;-8,9077311
199;0;854816,789100000052713;987970,588800000026822;2707,718668290000096;nan;-8,7894812
200;0;854881,789100000052713;987970,588800000026822;2703,132895929999904;nan;-8,6626158
201;0;854946,789100000052713;987970,588800000026822;2677,523913179999909;nan;-8,3658075
202;0;855011,789100000052713;987970,588800000026822;2634,248384019999776;nan;-8,1114006
203;0;855076,789100000052713;987970,588800000026822;2592,822219940000195;nan;-7,8145919
204;0;855141,789100000052713;987970,588800000026822;2556,119470919999912;nan;-7,3383355
205;0;855206,789100000052713;987970,588800000026822;2520,930753180000011;nan;-6,6532903
206;0;855271,789100000052713;987970,588800000026822;2506,900611160000153;nan;-6,0661092
207;0;855336,789100000052713;987970,588800000026822;2509,912097519999861;nan;-5,3500261
208;0;855401,789100000052713;987970,588800000026822;2514,358074520000173;nan;-4,5766177
209;0;855466,789100000052713;987970,588800000026822;2521,103156659999968;nan;-3,6743073
210;0;855531,789100000052713;987970,588800000026822;2518,381334080000215;nan;-2,9008987
211;0;853646,789100000052713;988036,588800000026822;2374,801019779999933;nan;-4,3649735
212;0;853711,789100000052713;988036,588800000026822;2368,541289230000075;nan;-4,7382112
213;0;853776,789100000052713;988036,588800000026822;2392,271445089999816;nan;-5,2519784
214;0;853841,789100000052713;988036,588800000026822;2419,609740649999821;nan;-5,7035394
215;0;853906,789100000052713;988036,588800000026822;2445,590557099999842;nan;-6,2303605
216;0;853971,789100000052713;988036,588800000026822;2476,685030310000002;nan;-6,6678553
217;0;854036,789100000052713;988036,588800000026822;2523,715813270000126;nan;-7,1454439
218;0;854101,789100000052713;988036,588800000026822;2603,638346189999993;nan;-7,5548053
219;0;854166,789100000052713;988036,588800000026822;2642,633052709999902;nan;-8,0323944
220;0;854231,789100000052713;988036,588800000026822;2689,430176469999878;nan;-8,2375078
221;0;854296,789100000052713;988036,588800000026822;2730,666109710000001;nan;-8,4291487
